event_id,site_id,start_date,end_date,peak_date,duration_days,peak_zscore,mean_zscore,detection_methods,vote_count_max
EVT-00001,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2023-12-27,2023-12-27,2023-12-27,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00002,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-03-12,2024-03-12,2024-03-12,1,0.0,0.0,"rolling_zscore,pelt_changepoint",2
EVT-00003,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-06-25,2024-06-27,2024-06-25,3,0.0,0.0,"pelt_changepoint,cusum_trend",2
EVT-00004,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-08-08,2024-08-08,2024-08-08,1,0.0,0.0,"rolling_zscore,stl_residual,cusum_trend",3
EVT-00005,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2024-09-10,2024-09-10,2024-09-10,1,0.0,0.0,"rolling_zscore,stl_residual,pelt_changepoint,cusum_trend",4
EVT-00006,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-02,2025-01-02,2025-01-02,1,0.0,0.0,"rolling_zscore,pelt_changepoint,cusum_trend",3
EVT-00007,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-01-30,2025-01-30,2025-01-30,1,0.0,0.0,"rolling_zscore,cusum_trend",2
EVT-00008,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-02-04,2025-02-04,2025-02-04,1,0.0,0.0,"rolling_zscore,cusum_trend",2
EVT-00009,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-07-03,2025-07-03,2025-07-03,1,0.0,0.0,"pelt_changepoint,cusum_trend",2
EVT-00010,CDC_VERILY_fl_2503_Treatment plant_post grit removal,2025-08-28,2025-08-28,2025-08-28,1,0.0,0.0,"rolling_zscore,cusum_trend",2
EVT-00011,NWSS_az_1059_Treatment plant_raw wastewater,2022-02-28,2022-02-28,2022-02-28,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00012,NWSS_az_1059_Treatment plant_raw wastewater,2024-05-20,2024-05-20,2024-05-20,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00013,NWSS_ga_2699_Treatment plant_raw wastewater,2022-06-05,2022-06-06,2022-06-05,2,0.0,0.0,"stl_residual,cusum_trend",2
EVT-00014,NWSS_ga_2699_Treatment plant_raw wastewater,2022-08-07,2022-08-07,2022-08-07,1,0.0,0.0,"rolling_zscore,cusum_trend",2
EVT-00015,NWSS_ga_2699_Treatment plant_raw wastewater,2022-11-13,2022-11-13,2022-11-13,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00016,NWSS_ga_2699_Treatment plant_raw wastewater,2023-03-13,2023-03-13,2023-03-13,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00017,NWSS_ga_2699_Treatment plant_raw wastewater,2023-05-22,2023-05-22,2023-05-22,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00018,NWSS_ga_2699_Treatment plant_raw wastewater,2024-01-15,2024-01-15,2024-01-15,1,0.0,0.0,"rolling_zscore,cusum_trend",2
EVT-00019,NWSS_ga_2699_Treatment plant_raw wastewater,2024-01-28,2024-01-28,2024-01-28,1,0.0,0.0,"stl_residual,cusum_trend",2
EVT-00020,NWSS_ga_2699_Treatment plant_raw wastewater,2024-04-14,2024-04-15,2024-04-14,2,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00021,NWSS_ga_2699_Treatment plant_raw wastewater,2024-06-16,2024-06-16,2024-06-16,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00022,NWSS_ga_2699_Treatment plant_raw wastewater,2025-02-02,2025-02-02,2025-02-02,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00023,NWSS_ga_2699_Treatment plant_raw wastewater,2025-03-16,2025-03-16,2025-03-16,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00024,NWSS_ga_2699_Treatment plant_raw wastewater,2025-06-23,2025-06-23,2025-06-23,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00025,NWSS_il_639_Treatment plant_raw wastewater,2022-03-15,2022-03-15,2022-03-15,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00026,NWSS_il_639_Treatment plant_raw wastewater,2022-06-09,2022-06-09,2022-06-09,1,2.192265115037436,2.192265115037436,"rolling_zscore,stl_residual",2
EVT-00027,NWSS_il_639_Treatment plant_raw wastewater,2022-06-21,2022-06-21,2022-06-21,1,2.0366313594224614,2.0366313594224614,"rolling_zscore,stl_residual",2
EVT-00028,NWSS_il_639_Treatment plant_raw wastewater,2022-09-25,2022-09-25,2022-09-25,1,1.6804720591902114,1.6804720591902114,"rolling_zscore,stl_residual",2
EVT-00029,NWSS_il_639_Treatment plant_raw wastewater,2022-10-18,2022-10-18,2022-10-18,1,1.541290865647734,1.541290865647734,"rolling_zscore,stl_residual",2
EVT-00030,NWSS_il_639_Treatment plant_raw wastewater,2023-01-26,2023-01-26,2023-01-26,1,1.438123087539186,1.438123087539186,"rolling_zscore,stl_residual",2
EVT-00031,NWSS_il_639_Treatment plant_raw wastewater,2023-02-26,2023-02-26,2023-02-26,1,1.6371828425630017,1.6371828425630017,"rolling_zscore,stl_residual",2
EVT-00032,NWSS_il_639_Treatment plant_raw wastewater,2023-05-07,2023-05-07,2023-05-07,1,1.536207886045297,1.536207886045297,"rolling_zscore,stl_residual",2
EVT-00033,NWSS_il_639_Treatment plant_raw wastewater,2023-07-04,2023-07-04,2023-07-04,1,1.4674722622840344,1.4674722622840344,"rolling_zscore,stl_residual",2
EVT-00034,NWSS_il_639_Treatment plant_raw wastewater,2023-11-05,2023-11-05,2023-11-05,1,1.429162543062484,1.429162543062484,"rolling_zscore,stl_residual",2
EVT-00035,NWSS_il_639_Treatment plant_raw wastewater,2023-11-21,2023-11-21,2023-11-21,1,0.6087860513069958,0.6087860513069958,"rolling_zscore,stl_residual",2
EVT-00036,NWSS_il_639_Treatment plant_raw wastewater,2024-03-12,2024-03-14,2024-03-12,3,1.6948530517033746,0.8474265258516873,"stl_residual,pelt_changepoint",2
EVT-00037,NWSS_il_639_Treatment plant_raw wastewater,2024-12-15,2024-12-15,2024-12-15,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00038,NWSS_il_639_Treatment plant_raw wastewater,2025-02-12,2025-02-12,2025-02-12,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00039,NWSS_il_639_Treatment plant_raw wastewater,2025-05-04,2025-05-04,2025-05-04,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00040,NWSS_il_639_Treatment plant_raw wastewater,2025-06-01,2025-06-01,2025-06-01,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00041,NWSS_mn_2245_Treatment plant_raw wastewater,2023-05-03,2023-05-03,2023-05-03,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00042,NWSS_mn_2245_Treatment plant_raw wastewater,2023-09-06,2023-09-06,2023-09-06,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00043,NWSS_mn_2245_Treatment plant_raw wastewater,2023-11-01,2023-11-01,2023-11-01,1,0.0,0.0,"stl_residual,cusum_trend",2
EVT-00044,NWSS_mn_2245_Treatment plant_raw wastewater,2023-12-26,2023-12-26,2023-12-26,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00045,NWSS_mn_2245_Treatment plant_raw wastewater,2024-02-20,2024-02-20,2024-02-20,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00046,NWSS_mn_2245_Treatment plant_raw wastewater,2024-03-27,2024-03-27,2024-03-27,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00047,NWSS_mn_2245_Treatment plant_raw wastewater,2024-08-12,2024-08-12,2024-08-12,1,0.0,0.0,"stl_residual,cusum_trend",2
EVT-00048,NWSS_mn_2245_Treatment plant_raw wastewater,2024-09-03,2024-09-03,2024-09-03,1,0.0,0.0,"rolling_zscore,stl_residual,cusum_trend",3
EVT-00049,NWSS_mn_2245_Treatment plant_raw wastewater,2025-01-27,2025-01-27,2025-01-27,1,0.9841561228157656,0.9841561228157656,"rolling_zscore,cusum_trend",2
EVT-00050,NWSS_mn_2245_Treatment plant_raw wastewater,2025-06-18,2025-06-18,2025-06-18,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00051,NWSS_mt_977_Treatment plant_raw wastewater,2021-02-24,2021-02-24,2021-02-24,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00052,NWSS_mt_977_Treatment plant_raw wastewater,2021-08-04,2021-08-04,2021-08-04,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00053,NWSS_mt_977_Treatment plant_raw wastewater,2022-02-23,2022-02-23,2022-02-23,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00054,NWSS_mt_977_Treatment plant_raw wastewater,2023-02-01,2023-02-01,2023-02-01,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00055,NWSS_mt_977_Treatment plant_raw wastewater,2023-12-26,2023-12-26,2023-12-26,1,0.0,0.0,"rolling_zscore,stl_residual,cusum_trend",3
EVT-00056,NWSS_mt_977_Treatment plant_raw wastewater,2024-03-05,2024-03-05,2024-03-05,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00057,NWSS_mt_977_Treatment plant_raw wastewater,2024-08-20,2024-08-20,2024-08-20,1,0.0,0.0,"rolling_zscore,stl_residual,cusum_trend",3
EVT-00058,NWSS_mt_977_Treatment plant_raw wastewater,2024-10-22,2024-10-22,2024-10-22,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00059,NWSS_nc_1611_Treatment plant_raw wastewater,2023-03-16,2023-03-16,2023-03-16,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00060,NWSS_nc_1611_Treatment plant_raw wastewater,2023-03-21,2023-03-21,2023-03-21,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00061,NWSS_nc_1611_Treatment plant_raw wastewater,2023-09-07,2023-09-07,2023-09-07,1,0.0,0.0,"rolling_zscore,cusum_trend",2
EVT-00062,NWSS_nc_1611_Treatment plant_raw wastewater,2024-02-13,2024-02-13,2024-02-13,1,0.0,0.0,"rolling_zscore,cusum_trend",2
EVT-00063,NWSS_nc_1611_Treatment plant_raw wastewater,2024-04-30,2024-04-30,2024-04-30,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00064,NWSS_nc_1611_Treatment plant_raw wastewater,2024-07-04,2024-07-04,2024-07-04,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00065,NWSS_nc_1611_Treatment plant_raw wastewater,2024-07-30,2024-07-30,2024-07-30,1,0.0,0.0,"rolling_zscore,cusum_trend",2
EVT-00066,NWSS_nc_1611_Treatment plant_raw wastewater,2024-12-26,2024-12-26,2024-12-26,1,0.0,0.0,"rolling_zscore,cusum_trend",2
EVT-00067,NWSS_nc_1611_Treatment plant_raw wastewater,2025-02-11,2025-02-13,2025-02-11,3,0.0,0.0,"rolling_zscore,stl_residual,cusum_trend",2
EVT-00068,NWSS_nc_1611_Treatment plant_raw wastewater,2025-04-24,2025-04-24,2025-04-24,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00069,NWSS_nc_1611_Treatment plant_raw wastewater,2025-05-01,2025-05-01,2025-05-01,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00070,NWSS_nc_1611_Treatment plant_raw wastewater,2025-07-08,2025-07-08,2025-07-08,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00071,NWSS_nc_1611_Treatment plant_raw wastewater,2025-08-21,2025-08-21,2025-08-21,1,0.0,0.0,"rolling_zscore,stl_residual",2
EVT-00072,NWSS_nv_554_Treatment plant_90_raw wastewater,2021-11-15,2021-11-16,2021-11-15,2,2.59819294071005,2.373167305194658,"rolling_zscore,stl_residual",2
EVT-00073,NWSS_nv_554_Treatment plant_90_raw wastewater,2022-01-11,2022-01-13,2022-01-11,3,2.261710061512256,2.021961717543966,"rolling_zscore,cusum_trend",2
EVT-00074,NWSS_nv_554_Treatment plant_90_raw wastewater,2022-01-18,2022-01-18,2022-01-18,1,2.0140962229108426,2.0140962229108426,"rolling_zscore,cusum_trend",2
EVT-00075,NWSS_nv_554_Treatment plant_90_raw wastewater,2022-03-03,2022-03-03,2022-03-03,1,2.443894644823896,2.443894644823896,"rolling_zscore,stl_residual",2
EVT-00076,NWSS_nv_554_Treatment plant_90_raw wastewater,2022-03-17,2022-03-17,2022-03-17,1,2.4821264185335776,2.4821264185335776,"rolling_zscore,stl_residual",2
EVT-00077,NWSS_nv_554_Treatment plant_90_raw wastewater,2022-04-07,2022-04-07,2022-04-07,1,0.4821732357166822,0.4821732357166822,"stl_residual,cusum_trend",2
EVT-00078,NWSS_nv_554_Treatment plant_90_raw wastewater,2022-06-17,2022-06-20,2022-06-20,4,2.303941920587568,1.6508615369864288,"rolling_zscore,stl_residual,pelt_changepoint",3
EVT-00079,NWSS_nv_554_Treatment plant_90_raw wastewater,2022-07-07,2022-07-07,2022-07-07,1,2.2029172794647707,2.2029172794647707,"rolling_zscore,cusum_trend",2
EVT-00080,NWSS_nv_554_Treatment plant_90_raw wastewater,2022-11-09,2022-11-09,2022-11-09,1,2.1722177532202873,2.1722177532202873,"rolling_zscore,cusum_trend",2
EVT-00081,NWSS_nv_554_Treatment plant_90_raw wastewater,2023-06-20,2023-06-20,2023-06-20,1,2.5252217159773767,2.5252217159773767,"rolling_zscore,cusum_trend",2
EVT-00082,NWSS_nv_554_Treatment plant_90_raw wastewater,2023-11-23,2023-11-23,2023-11-23,1,2.520711151835694,2.520711151835694,"rolling_zscore,stl_residual",2
EVT-00083,NWSS_nv_554_Treatment plant_90_raw wastewater,2024-02-15,2024-02-15,2024-02-15,1,2.194235545931844,2.194235545931844,"rolling_zscore,cusum_trend",2
EVT-00084,NWSS_nv_554_Treatment plant_90_raw wastewater,2024-06-10,2024-06-10,2024-06-10,1,2.0706848631889727,2.0706848631889727,"rolling_zscore,cusum_trend",2
EVT-00085,NWSS_nv_554_Treatment plant_90_raw wastewater,2024-06-19,2024-06-19,2024-06-19,1,1.9446866936345442,1.9446866936345442,"rolling_zscore,cusum_trend",2
EVT-00086,NWSS_nv_554_Treatment plant_90_raw wastewater,2024-06-25,2024-06-25,2024-06-25,1,2.5423085042154345,2.5423085042154345,"rolling_zscore,stl_residual",2
EVT-00087,NWSS_nv_554_Treatment plant_90_raw wastewater,2024-11-18,2024-11-19,2024-11-18,2,2.617348563178305,2.3213078611940023,"rolling_zscore,stl_residual",2
EVT-00088,NWSS_nv_554_Treatment plant_90_raw wastewater,2024-11-25,2024-11-26,2024-11-25,2,2.513557731190059,2.3383402601691285,"rolling_zscore,weekly_pct_change",2
EVT-00089,NWSS_nv_554_Treatment plant_90_raw wastewater,2024-12-13,2024-12-14,2024-12-13,2,2.6430893643813644,2.3561443709495187,"rolling_zscore,stl_residual",2
EVT-00090,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-01-15,2025-01-16,2025-01-15,2,2.4909702903399946,2.250657707156532,"rolling_zscore,stl_residual",2
EVT-00091,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-02-20,2025-02-22,2025-02-20,3,2.5609883486669176,2.193066760717161,"rolling_zscore,stl_residual",2
EVT-00092,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-03-10,2025-03-17,2025-03-10,8,2.571081477386625,1.5837573516021797,"rolling_zscore,stl_residual,weekly_pct_change,cusum_trend",3
EVT-00093,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-03-25,2025-03-25,2025-03-25,1,1.6185844671660754,1.6185844671660754,"stl_residual,cusum_trend",2
EVT-00094,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-04-17,2025-04-17,2025-04-17,1,2.440217521032776,2.440217521032776,"rolling_zscore,stl_residual",2
EVT-00095,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-05-20,2025-05-21,2025-05-20,2,2.5328072504328394,2.306628751450245,"rolling_zscore,stl_residual",2
EVT-00096,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-05-30,2025-05-30,2025-05-30,1,2.248497866659715,2.248497866659715,"rolling_zscore,stl_residual",2
EVT-00097,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-06-07,2025-06-07,2025-06-07,1,2.1353892427344077,2.1353892427344077,"rolling_zscore,stl_residual",2
EVT-00098,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-06-28,2025-06-28,2025-06-28,1,2.192492296478928,2.192492296478928,"rolling_zscore,stl_residual",2
EVT-00099,NWSS_nv_554_Treatment plant_90_raw wastewater,2025-08-08,2025-08-08,2025-08-08,1,2.1775135663789245,2.1775135663789245,"rolling_zscore,cusum_trend",2
EVT-00100,NWSS_ny_1041_Treatment plant_raw wastewater,2022-07-17,2022-07-17,2022-07-17,1,1.904087140535901,1.904087140535901,"rolling_zscore,stl_residual",2
EVT-00101,NWSS_ny_1041_Treatment plant_raw wastewater,2022-10-17,2022-10-17,2022-10-17,1,1.930094170880323,1.930094170880323,"rolling_zscore,stl_residual",2
EVT-00102,NWSS_ny_1041_Treatment plant_raw wastewater,2022-12-07,2022-12-07,2022-12-07,1,1.5494243341289209,1.5494243341289209,"rolling_zscore,stl_residual",2
